country,suicides_no,group,pop_rat,gdp_rat
Albania,1970,2,236081.3144,1859.045455
Antigua and Barbuda,11,2,6142.679012,10448.18519
Argentina,82219,1,2784907.073,7914.096774
Armenia,1905,2,259557.6275,1873.919463
Aruba,101,2,7498.077381,24221.64286
Australia,70111,1,1506604.961,32776.4
Austria,50073,1,638358.8848,34261.7801
Azerbaijan,1656,2,582241.1458,1005.125
Bahamas,93,2,23757.42029,25836.3913
Bahrain,463,2,66483.83333,18039.52381
Barbados,177,2,20712.30333,12251
Belarus,59892,1,783223.381,3333.904762
Belgium,62761,1,815329.6263,32066.74194
Belize,348,2,18717.30655,4006.464286
Bosnia and Herzegovina,318,2,305311.7083,5077.5
Brazil,226613,1,13054014.91,6091.483871
Bulgaria,36388,1,644277.6611,3640.433333
Cabo Verde,42,2,37681.58333,4124
Canada,107561,1,2373713.17,30887.48276
Chile,40895,1,1149529.817,7493.064516
Colombia,53080,1,2978338.618,3708.967742
Costa Rica,6792,2,283824.4111,5149.7
Croatia,18429,1,350115.8435,10355.87023
Cuba,41418,1,874271.2951,4351.166667
Cyprus,412,2,65210.46067,27668.22472
Czech Republic,43687,1,820206.646,12369.54658
Denmark,15297,1,424932.6477,49299.90909
Dominica,0,2,5533.333333,1485
Ecuador,20660,1,925612.8763,3286.258065
El Salvador,11683,1,432929.5069,2550.666667
Estonia,7034,2,107503.2143,11376.09524
Fiji,304,2,62025.68939,3913.272727
Finland,33677,1,407832.3506,35468.27586
France,329127,1,4640991.042,31481.46667
Georgia,3224,2,354540.9091,1893.136364
Germany,291262,1,6489985.936,35164.23077
Greece,12368,1,849720.7124,17019.3871
Grenada,38,2,7571.890323,6209.406452
Guatemala,8149,2,848216.2139,2263.533333
Guyana,3426,2,55315.29667,1674.92
Hungary,73891,1,802078.2452,9370.051613
Iceland,1108,2,22010.2199,39274.75393
Ireland,12574,1,302843.5722,34230.86667
Israel,11294,1,465246.7419,23125.45161
Italy,132060,1,4610332.538,26602.58065
Jamaica,184,2,193538.3186,3301.235294
Japan,806902,1,9895228.075,36397.54839
Kazakhstan,101546,1,1209980.349,5329.115385
Kiribati,53,2,5618.227273,875.9090909
Kuwait,966,2,190366.6367,27819
Kyrgyzstan,13090,1,369148.0353,720.7307692
Latvia,12770,1,177986.6667,8961.095238
Lithuania,28039,1,259867.2137,9280.549618
Luxembourg,1958,2,34820.31183,68798.3871
Macau,27,2,28878.5,18081
Maldives,20,2,24168.71667,5088.9
Malta,585,2,30181.19086,14044.41935
Mauritius,3894,2,87465.73037,5506.659686
Mexico,111139,1,7454191.288,7138.451613
Mongolia,423,2,216758.9,4145
Montenegro,472,2,48623.85833,4195.6
Netherlands,50833,1,1244401.228,35714.67016
New Zealand,14383,1,296236.8678,22279.48276
Nicaragua,2013,2,440869.9028,2028.833333
Norway,16992,1,355480.7972,57319.6
Oman,33,2,249641.3056,20740.66667
Panama,3483,2,234218.8633,6626.52
Paraguay,4783,2,384697.4352,2365.777778
Philippines,21330,1,5917045.439,1540.2
Poland,139098,1,3007569.545,8146.458333
Portugal,24061,1,806354.3704,14176.2963
Puerto Rico,9043,2,283297.379,18352.64516
Qatar,574,2,122868.2303,67756.44944
Republic of Korea,261730,1,3642325.097,14801.25806
Romania,72777,1,1721754.38,4791.449102
Russian Federation,1209742,1,11391366.11,6518.814815
Saint Kitts and Nevis,0,2,3258.333333,5525
Saint Lucia,230,2,11638.45238,5789.035714
Saint Vincent and Grenadines,124,2,8125.54,4954.64
San Marino,4,2,2189.583333,53663.66667
Serbia,24179,1,583982.1204,4471.277778
Seychelles,98,2,6448.222222,10655.72222
Singapore,10089,1,253339.8952,38050.25806
Slovakia,13437,1,423612.5492,10526
Slovenia,10615,1,159796.1071,18642.2381
South Africa,7321,2,3638044.842,5589.5
Spain,100202,1,3300164.234,20982.16129
Sri Lanka,55641,1,1382769.894,904.2727273
Suriname,2166,2,34640.68155,4351.964286
Sweden,37795,1,707533.8855,41357.57542
Switzerland,26217,1,595214.3254,62981.7619
Thailand,110643,1,4744911.021,3572.161677
Trinidad and Tobago,4039,2,96429.31173,8829.037037
Turkey,10131,1,5745721.214,12134.28571
Turkmenistan,8624,2,332117.2931,2618.103448
Ukraine,319950,1,3828777.333,1867.535714
United Arab Emirates,622,2,506976.0417,42162
United Kingdom,136805,1,4674106.935,31908.35484
United States,1034013,1,21650610.76,39269.6129
Uruguay,13138,1,250205.1875,7622.071429
Uzbekistan,34803,1,1842509.591,976.1818182
