No,country,continent,Female,Male
1,Maldives,Asia,0.440536073663505,0.910113900754679
2,Kuwait,Asia,1.35631578131539,1.90448811669581
3,Jamaica,Americas,0.130073537074185,0.810542219913032
4,United Arab Emirates,Asia,1.04901029625014,1.92929814489883
5,Antigua and Barbuda,Americas,0.0962301825967715,1.05146611177295
6,South Africa,Africa,0.35892421057863,1.3399813622393
7,Azerbaijan,Asia,0.718980025618026,2.28311759340319
8,Albania,Europe,2.21394440584329,4.11618564132622
9,Philippines,Asia,0.99545790849521,2.99927783845093
10,Bahamas,Americas,0.416498331924181,2.47207958218726
11,Turkey,Asia,1.0667948758383,3.12704464090278
12,Qatar,Asia,0.925009861632914,3.11642075898569
13,Bahrain,Asia,1.22804636857478,3.74041189845534
14,Armenia,Asia,1.22810782899081,3.79238860620021
15,Grenada,Americas,0.349506453199775,3.02544129175665
16,Fiji,Oceania,2.26377225555551,5.11091403298627
17,Guatemala,Americas,1.26513264236059,4.13370805325442
18,Paraguay,Americas,2.36606197354512,5.27410311505878
19,Barbados,Americas,1.01549772620827,4.8582127242664
20,Cyprus,Asia,1.38329482863313,5.61007396666753
21,Georgia,Asia,1.40061392904498,5.74359067495136
22,Greece,Europe,1.58244772902584,6.31679319470813
23,Ecuador,Americas,3.62440958161653,8.37430877040336
24,Mexico,Americas,1.38340050917224,6.67484146253627
25,Singapore,Asia,8.01421573546149,13.4202889616716
26,Brazil,Americas,1.98805090752861,7.42897192374712
27,Colombia,Americas,2.01921123460578,7.6415086117973
28,Montenegro,Europe,4.84700137230726,11.4526979134441
29,Malta,Europe,1.93806439518472,8.55603491366601
30,Uzbekistan,Asia,3.77125490054415,10.6039946160618
31,Nicaragua,Americas,2.98106043246528,9.83055614236392
32,Panama,Americas,1.46566716181598,8.40862653194222
33,Thailand,Asia,3.5087246970833,10.5063669097744
34,Israel,Asia,3.05539426381352,10.0943051640768
35,Netherlands,Europe,6.9686571700395,14.3555908860108
36,Belize,Americas,1.62583535261021,9.42209261821871
37,Turkmenistan,Asia,3.56642817029048,11.4916360060206
38,Italy,Europe,3.71279278531633,11.9574882147445
39,Saint Vincent and Grenadines,Americas,0.906208268079473,9.23343680774759
40,Saint Lucia,Americas,1.69802858880839,10.2714707802859
41,United Kingdom,Europe,3.67475257482933,12.2597672363828
42,Spain,Europe,3.9386378582516,12.561035614972
43,El Salvador,Americas,5.11434341692265,14.0655925578744
44,Kiribati,Oceania,2.64985598032747,11.805824389735
45,Argentina,Americas,3.45951031022325,12.6206580179943
46,Costa Rica,Americas,1.9226745467388,11.3406391266604
47,Portugal,Europe,4.31532970775601,14.5333880637484
48,Aruba,Americas,2.57794101367674,13.9944954984373
49,Seychelles,Africa,1.29166517168383,12.7866030880365
50,Mauritius,Africa,5.99651529034913,17.5160848166646
51,Norway,Europe,7.25994897363847,19.3991411194595
52,Denmark,Europe,7.62360986010121,19.7985143749345
53,Sweden,Europe,8.74385087779144,21.3021045415419
54,Chile,Americas,3.15314971350008,16.1511179031275
55,Germany,Europe,7.67419639447908,21.4506790404062
56,Iceland,Europe,6.1909867618944,20.0007344210926
57,Puerto Rico,Americas,1.92308464236282,15.7951412295002
58,Luxembourg,Europe,8.24060874684363,22.2083785813363
59,Kyrgyzstan,Asia,4.50038291653962,18.4749960908761
60,Republic of Korea,Asia,12.2040174378635,26.4183082464666
61,Ireland,Europe,4.4642031016795,18.7046369133044
62,Cuba,Americas,9.28638376324916,23.5927428237623
63,Canada,Americas,5.78569079288005,20.4327635649808
64,Australia,Oceania,5.61199630818085,20.3446740950134
65,Bulgaria,Europe,8.38864504994412,23.3572433883906
66,Switzerland,Europe,10.1060146927794,25.168951593301
67,Trinidad and Tobago,Americas,5.24639368016858,20.6170208718675
68,New Zealand,Oceania,6.38096794053356,21.8323494126171
69,United States,Americas,5.19719690497496,20.8159272409369
70,Romania,Europe,4.50040449273367,21.2744147560004
71,Suriname,Americas,9.81240851613407,27.3130644643016
72,Slovakia,Europe,3.51283961101549,21.0507840158204
73,Japan,Asia,13.350576663603,30.9130639971189
74,Serbia,Europe,10.4130125981747,28.4609786272203
75,Belgium,Europe,11.6011079972726,30.2273167305709
76,Uruguay,Americas,6.48239724567079,25.4347686434414
77,France,Europe,10.3760950541978,29.6309718263314
78,Czech Republic,Europe,6.86159007216692,26.8820715733464
79,Austria,Europe,10.5324466961854,31.5849177750341
80,Croatia,Europe,9.8320999323555,31.2803760355319
81,Guyana,Americas,9.77125118721299,31.7155639265619
82,Poland,Europe,4.70541251473343,28.201161750245
83,Finland,Europe,10.5204954702881,37.6428413586963
84,Slovenia,Europe,11.196394041281,42.1799242435774
85,Sri Lanka,Asia,14.8666773474673,46.1709994684344
86,Hungary,Europe,13.9930319151843,47.7795565085791
87,Ukraine,Europe,8.83287128620141,43.7074867662654
88,Estonia,Europe,9.56243518498369,45.0437106052187
89,Kazakhstan,Asia,9.25313409664352,46.0045356502077
90,Latvia,Europe,10.1629731749268,50.2014445104847
91,Belarus,Europe,9.46777555692401,54.388033402952
92,Russian Federation,Europe,10.8208619491502,58.2081084219225
93,Lithuania,Europe,13.8416317724479,73.5441663094553
